SKU,Barcode,Name,Brand,Category,Size,Variety,Color,Unit,Cost_Price,Selling_Price,Min_Stock_Level,Max_Stock_Level,Initial_Stock,Description,Supplier,Created Date,Updated Date
SKU-634069-293,,Spray Paint,Champ,Paint,,,White,,69.36,99.09,3,10,9,#C101 White ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634082-138,,Spray Paint,Champ,Paint,,,Polished Black,,69.36,99.09,3,10,10,#C103 Matte Black ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634084-953,,Spray Paint,Champ,Paint,,,Matte Black,,69.36,99.09,3,10,10,#C103 Polished Black ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634085-099,,Spray Paint,Champ,Paint,,,Clear,,69.36,99.09,3,10,10,#C104 Clear ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634087-211,,Spray Paint,Champ,Paint,,,Silver,,69.36,99.09,3,10,10,#C106 Silver ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634091-556,,Spray Paint,Champ,Paint,,,Red,,69.36,99.09,3,10,10,#C107 Red ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634092-872,,Spray Paint,Champ,Paint,,,Yellow,,69.36,99.09,3,10,10,#C108 Yellow ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634093-524,,Spray Paint,Champ,Paint,,,Orange,,66.96,95.66,3,10,10,#C111 Orange ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634094-443,,Spray Paint,Champ,Paint,,,Gray,,69.36,99.09,3,10,9,#C112 Gray ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634095-049,,Spray Paint,Champ,Paint,,,Spring Green,,69.36,99.09,3,10,10,#C117 Spring Green ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634096-055,,Spray Paint,Champ,Paint,,,Sky Blue,,69.36,99.09,3,10,10,#C121 Sky Blue ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634097-159,,Spray Paint,Champ,Paint,,,Royal Blue,,69.36,99.09,3,10,10,#C124 Royal Blue ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634098-406,,Spray Paint,Champ,Paint,,,Brown,,69.36,99.09,3,10,10,#C129 Brown ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634100-200,,Spray Paint,Champ,Paint,,,Forest Green,,69.36,99.09,3,10,10,#C135 Forest Green ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
SKU-634101-850,,Spray Paint,Champ,Paint,,,Gold,,89.28,127.54,3,10,10,#C138 Gold ,,Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time),Mon Oct 06 2025 11:50:34 GMT+0800 (China Standard Time)
